Name,Free,Paid,Total,Paid(Rs.)
Project A Smart Approach Towards Lifestyle in NepalLocus 2020,48,10,58,50
Project Solar WiperLocus 2020,3,0,3,0
Project CNC Drawing MachineLocus 2020,18,5,23,25
Project Smart Fire DetectorLocus 2020,18,0,18,0
Project Tesla CoilLocus 2020,10,0,10,0
Earthquake Instance InformationLocus 2020,2,0,2,0
Project Accident Alert SystemLocus 2020,23,5,28,25
Project FemicodersLocus 2020,21,0,21,0
Sajina SubbaModel Superstar,106,5,111,25
Project HexapodLocus 2020,13,0,13,0
Project Library AppLocus 2020,27,5,32,25
Project LCR MeterLocus 2020,5,0,5,0
Project Home AutomationLocus 2020,17,0,17,0
Project Alexa PiLocus 2020,99,25,124,125
Project TeeForgesLocus 2020,14,0,14,0
Project Fire RoboLocus 2020,16,110,126,550
Project 3 in 1 Cartesian 3D PrinterLocus 2020,81,3120,3201,15600
Padam Bahadur RanamagarModel Superstar,19,0,19,0
Sabita MaharjanModel Superstar,1363,710,2073,3550
Project EMG Contolled Prosthetic ArmLocus 2020,13,5,18,25
Rachana KarkiModel Superstar,39,0,39,0
Project Green CityLocus 2020,37,10,47,50
Smriti ShahModel Superstar,72,0,72,0
Project Hand Gesture Control CarLocus 2020,6,0,6,0
Ichhya AdhikariModel Superstar,17,0,17,0
Project Online Entrance System ( IOE Entrance)Locus 2020,16,0,16,0
Project Target ShooterLocus 2020,6,5,11,25
Project ImmuneLocus 2020,99,95,194,475
Srijana BasnetModel Superstar,195,5,200,25
Project Solar Powered Water Surface Garbage Collecting BoatLocus 2020,8,5,13,25
Ashish ShakyaModel Superstar,711,3100,3811,15500
Rabin GhisingModel Superstar,177,1000,1177,5000
Nikita ShakyaModel Superstar,13,0,13,0
Project IOT Based Smart Agriculture SystemLocus 2020,15,0,15,0
Project Chicken Farm Monitoring SystemLocus 2020,0,5,5,25
Project P.I.M.P.Locus 2020,19,10,29,50
Project IRB -Robo ArmLocus 2020,24,0,24,0
Project EN SATLocus 2020,18,5,23,25
Project Robotic Arm for 3D AnalysisLocus 2020,0,5,5,25
Project Street Light AutomationLocus 2020,6,0,6,0
Project Bhakari Shopping NepalLocus 2020,34,3500,3534,17500
Project Automatic Rechargaeble StoveLocus 2020,12,0,12,0
Project 2D CNC PlotterLocus 2020,6,0,6,0
Project MargadarshanLocus 2020,4,0,4,0
Project Health and Environment CheckerLocus 2020,70,5,75,25
Project GhadiLocus 2020,7,5,12,25
Project CNC RouterLocus 2020,23,5,28,25
Project Residential Drainage Water Purification SystemLocus 2020,15,5,20,25
Project Project -NLocus 2020,7,100,107,500
Sajana PantaModel Superstar,103,810,913,4050
Project MedicoLocus 2020,2,0,2,0
Narman MallaModel Superstar,334,545,879,2725
Project Automatic Irrigation SystemLocus 2020,6,5,11,25
Project TrivramLocus 2020,3,0,3,0
Project Cable Fault Distance FinderLocus 2020,4,0,4,0
Project Structural DoteLocus 2020,4,0,4,0
Aakriti SubediModel Superstar,232,105,337,525
Project Under Ground Fault DetectorLocus 2020,7,0,7,0
Project KissanLocus 2020,5,5,10,25
Bishal shakyaMusic Eve 2020,29,0,29,0
Project Food DetectionLocus 2020,1,0,1,0
Project Arduino Based Natural Gas DetectorLocus 2020,1,0,1,0
Sinam AdhikariMusic Eve 2020,6,0,6,0
Project ATM AlertLocus 2020,3,0,3,0
Roshan SunamModel Superstar,9,0,9,0
Project DeforestationLocus 2020,1,0,1,0
Project मनसा- The Nepali Programming LanguageLocus 2020,2,0,2,0
Project Wireless Digital OscilloscopeLocus 2020,1,0,1,0
abinash acharyaMusic Eve 2020,15,15,30,75
Chemical LatchMusic Eve 2020,43,150,193,750
Project Classroom Attendance using facial recognitionLocus 2020,5,0,5,0
Project Plant -eLocus 2020,4,0,4,0
Nishan PaudelMusic Eve 2020,3,0,3,0
